Gerschgorin Discs for 225x225 matrix
Row   Centre        Radius        Lo            Hi            
119   -71.6644      1795.2800     -1866.9444    1723.6155     
120   -262.2882     4673.1748     -4935.4630    4410.8866     
121   0.0000        4947.4685     -4947.4685    4947.4685     
122   0.0000        1878.9499     -1878.9499    1878.9499     
123   -71.6644      993.4085      -1065.0729    921.7441      
124   -36.0379      729.8885      -765.9264     693.8506      
125   -23.3614      606.0291      -629.3906     582.6677      
126   -17.6203      543.2826      -560.9029     525.6622      
127   -14.8284      513.0244      -527.8528     498.1960      
128   -13.6569      504.2695      -517.9264     490.6127      
129   -13.6569      514.1960      -527.8528     500.5391      
130   -14.8284      546.0745      -560.9029     531.2460      
131   -17.6203      611.7702      -629.3906     594.1499      
132   -23.3614      742.5650      -765.9264     719.2035      
133   -36.0379      1029.0350     -1065.0729    992.9971      
134   -71.6644      1804.3038     -1875.9682    1732.6394     
135   -262.2882     4683.1012     -4945.3894    4420.8130     
136   0.0000        4981.4211     -4981.4211    4981.4211     
137   0.0000        1912.0000     -1912.0000    1912.0000     
138   -71.6644      1026.4586     -1098.1230    954.7941      
139   -36.0379      762.9386      -798.9765     726.9006      
140   -23.3614      639.0792      -662.4406     615.7177      
141   -17.6203      576.3326      -593.9530     558.7123      
142   -14.8284      546.0745      -560.9029     531.2460      
143   -13.6569      537.3196      -550.9765     523.6628      
144   -13.6569      547.2460      -560.9029     533.5892      
145   -14.8284      579.1245      -593.9530     564.2961      
146   -17.6203      644.8203      -662.4406     627.2000      
147   -23.3614      775.6150      -798.9765     752.2536      
148   -36.0379      1062.0851     -1098.1230    1026.0472     
149   -71.6644      1835.4943     -1907.1587    1763.8299     
150   -262.2882     4716.1512     -4978.4394    4453.8630     
151   0.0000        5051.7683     -5051.7683    5051.7683     
152   0.0000        1980.4877     -1980.4877    1980.4877     
153   -71.6644      1094.9462     -1166.6107    1023.2818     
154   -36.0379      831.4262      -867.4641     795.3883      
155   -23.3614      707.5669      -730.9283     684.2054      
156   -17.6203      644.8203      -662.4406     627.2000      
157   -14.8284      614.5621      -629.3906     599.7337      
158   -13.6569      605.8073      -619.4641     592.1504      
159   -13.6569      615.7337      -629.3905     602.0768      
160   -14.8284      647.6122      -662.4406     632.7838      
161   -17.6203      713.3080      -730.9283     695.6877      
162   -23.3614      844.1027      -867.4641     820.7413      
163   -36.0379      1130.5728     -1166.6107    1094.5348     
164   -71.6644      1899.6517     -1971.3161    1827.9872     
165   -262.2882     4784.6389     -5046.9270    4522.3507     
166   0.0000        5192.6345     -5192.6345    5192.6345     
167   0.0000        2117.0235     -2117.0235    2117.0235     
168   -71.6644      1231.4821     -1303.1465    1159.8177     
169   -36.0379      967.9621      -1004.0000    931.9242      
170   -23.3614      844.1027      -867.4641     820.7413      
171   -17.6203      781.3562      -798.9765     763.7358      
172   -14.8284      751.0980      -765.9264     736.2695      
173   -13.6569      742.3431      -756.0000     728.6863      
174   -13.6569      752.2695      -765.9264     738.6127      
175   -14.8284      784.1481      -798.9765     769.3196      
176   -17.6203      849.8438      -867.4641     832.2235      
177   -23.3614      980.6385      -1004.0000    957.2771      
178   -36.0379      1267.1086     -1303.1465    1231.0707     
179   -71.6644      2023.8242     -2095.4886    1952.1598     
180   -262.2882     4921.1748     -5183.4630    4658.8866     
181   0.0000        5504.1443     -5504.1443    5504.1443     
182   0.0000        2416.1700     -2416.1700    2416.1700     
183   -71.6644      1530.6286     -1602.2931    1458.9642     
184   -36.0379      1267.1086     -1303.1465    1231.0707     
185   -23.3614      1143.2492     -1166.6107    1119.8878     
186   -17.6203      1080.5027     -1098.1230    1062.8824     
187   -14.8284      1050.2445     -1065.0729    1035.4161     
188   -13.6569      1041.4897     -1055.1465    1027.8328     
189   -13.6569      1051.4161     -1065.0729    1037.7592     
190   -14.8284      1083.2946     -1098.1230    1068.4662     
191   -17.6203      1148.9904     -1166.6107    1131.3700     
192   -23.3614      1279.7851     -1303.1465    1256.4236     
193   -36.0379      1566.2551     -1602.2931    1530.2172     
194   -71.6644      2272.8412     -2344.5056    2201.1767     
195   -262.2882     5220.3213     -5482.6095    4958.0331     
196   0.0000        6368.1509     -6368.1509    6368.1509     
197   0.0000        3230.0470     -3230.0470    3230.0470     
198   -71.6644      2344.5056     -2416.1700    2272.8412     
199   -36.0379      2080.9856     -2117.0235    2044.9477     
200   -23.3614      1957.1262     -1980.4877    1933.7648     
201   -17.6203      1894.3797     -1912.0000    1876.7594     
202   -14.8284      1864.1215     -1878.9499    1849.2931     
203   -13.6569      1855.3667     -1869.0235    1841.7098     
204   -13.6569      1865.2931     -1878.9499    1851.6362     
205   -14.8284      1897.1716     -1912.0000    1882.3431     
