Gerschgorin Discs for 49x49 matrix
Row   Centre        Radius        Lo            Hi            
1     49.0000       657.9310      -608.9310     706.9310      
2     36.0379       385.9276      -349.8897     421.9655      
3     -216.0000     160.0000      -376.0000     -56.0000      
4     13.6569       351.4802      -337.8234     365.1371      
5     -6.0000       370.0088      -376.0088     364.0088      
6     0.0000        429.9847      -429.9847     429.9847      
7     0.0000        620.1775      -620.1775     620.1775      
8     4.6198        417.3457      -412.7258     421.9655      
9     0.0000        236.0000      -236.0000     236.0000      
10    23.3614       166.6730      -143.3116     190.0345      
11    0.0000        179.1716      -179.1716     179.1716      
12    0.0000        190.0433      -190.0433     190.0433      
13    0.0000        244.0192      -244.0192     244.0192      
14    0.0000        385.7565      -385.7565     385.7565      
15    0.0000        376.0000      -376.0000     376.0000      
16    0.0000        190.0345      -190.0345     190.0345      
17    -4.0000       140.0690      -144.0690     136.0690      
18    0.0000        133.2061      -133.2061     133.2061      
19    0.0000        144.0778      -144.0778     144.0778      
20    0.0000        198.0537      -198.0537     198.0537      
21    0.0000        348.5883      -348.5883     348.5883      
22    0.0000        365.9655      -365.9655     365.9655      
23    0.0000        180.0000      -180.0000     180.0000      
24    2.3431        131.6913      -129.3482     134.0345      
25    0.0000        123.1716      -123.1716     123.1716      
26    0.0000        134.0433      -134.0433     134.0433      
27    0.0000        188.0192      -188.0192     188.0192      
28    0.0000        344.6127      -344.6127     344.6127      
29    0.0000        376.0000      -376.0000     376.0000      
30    0.0000        190.0345      -190.0345     190.0345      
31    0.0000        144.0690      -144.0690     144.0690      
32    2.0954        131.1106      -129.0152     133.2061      
33    0.0000        144.0778      -144.0778     144.0778      
34    0.0000        198.0537      -198.0537     198.0537      
35    0.0000        365.7321      -365.7321     365.7321      
36    0.0000        421.9655      -421.9655     421.9655      
37    0.0000        236.0000      -236.0000     236.0000      
38    0.0000        190.0345      -190.0345     190.0345      
39    -6.0000       173.1716      -179.1716     167.1716      
40    0.0000        190.0433      -190.0433     190.0433      
41    0.0000        244.0192      -244.0192     244.0192      
42    0.0000        476.1531      -476.1531     476.1531      
43    0.0000        607.9310      -607.9310     607.9310      
44    0.0000        421.9655      -421.9655     421.9655      
45    0.0000        376.0000      -376.0000     376.0000      
46    71.6644       293.4727      -221.8082     365.1371      
47    0.0000        376.0088      -376.0088     376.0088      
48    4.6198        425.3649      -420.7450     429.9847      
49    0.0000        470.1985      -470.1985     470.1985      

Union interval: [ -620.1775 , 706.9310 ]
